time,x,y,z
3,236,-260,-972
25,260,-260,-1004
46,256,-252,-976
67,248,-260,-988
89,248,-264,-996
111,264,-272,-992
133,264,-272,-984
155,276,-256,-996
177,284,-260,-996
200,244,-260,-968
221,252,-280,-992
243,240,-280,-1000
264,248,-272,-972
286,236,-268,-952
307,252,-272,-960
329,232,-272,-972
351,240,-264,-976
373,244,-280,-988
395,236,-272,-992
417,224,-272,-1004
439,272,-272,-980
461,260,-272,-992
483,256,-272,-948
505,248,-272,-976
527,268,-284,-976
549,264,-288,-996
571,244,-268,-960
593,260,-276,-992
615,264,-276,-992
636,252,-284,-996
658,236,-284,-988
679,216,-272,-976
701,236,-284,-992
723,244,-284,-992
745,240,-276,-988
768,260,-268,-976
790,236,-264,-944
812,264,-268,-964
834,268,-264,-944
855,256,-264,-968
877,264,-260,-992
899,276,-256,-984
921,260,-252,-984
943,280,-276,-996
965,272,-268,-984
987,244,-280,-972
1008,244,-296,-980
1030,236,-296,-996
1051,248,-292,-1000
1073,236,-292,-988
1095,232,-276,-988
1117,244,-268,-980
1139,256,-260,-968
1162,260,-248,-976
1184,268,-240,-964
1205,244,-240,-960
1227,272,-248,-984
1249,244,-248,-976
1271,236,-252,-952
1293,272,-260,-1000
1315,284,-264,-1016
1337,252,-264,-984
1359,260,-276,-1008
1381,252,-272,-1000
1403,240,-284,-988
1425,240,-284,-984
1447,264,-268,-1012
1469,260,-264,-972
1491,248,-240,-972
1513,256,-252,-976
1536,240,-228,-968
1557,264,-236,-964
1579,280,-236,-988
1601,260,-236,-988
1623,268,-244,-984
1645,268,-256,-996
1667,240,-260,-968
1689,256,-276,-992
1712,248,-268,-996
1733,248,-268,-1012
1755,228,-276,-1012
1776,252,-260,-996
1798,236,-252,-980
1819,256,-244,-956
1841,272,-248,-980
1863,276,-252,-992
1885,256,-256,-984
1908,260,-256,-984
1929,288,-256,-984
1951,276,-240,-972
1973,272,-260,-972
1995,256,-264,-996
2017,248,-252,-988
2039,256,-252,-988
2061,224,-260,-972
2084,256,-264,-980
2105,280,-280,-1004
2127,244,-268,-964
2148,252,-268,-976
2170,268,-264,-976
2191,288,-252,-1000
2213,280,-240,-980
2235,276,-244,-996
2257,268,-236,-972
2280,244,-252,-960
2302,256,-252,-976
2323,248,-240,-976
2345,276,-264,-988
2367,264,-256,-988
2389,260,-264,-1000
2411,264,-264,-992
2433,260,-256,-984
2455,260,-260,-968
2477,276,-260,-988
2499,276,-260,-1004
2520,256,-252,-988
2542,244,-240,-956
2563,276,-252,-992
2585,276,-236,-976
2607,280,-236,-980
2629,248,-240,-964
2651,264,-260,-992
2673,256,-248,-972
2695,264,-260,-988
2716,224,-260,-968
2738,256,-244,-980
2759,268,-248,-996
2781,268,-240,-980
2803,304,-236,-1008
2825,288,-252,-988
2848,276,-260,-984
2869,300,-240,-1016
2890,340,-240,-1168
2911,284,-292,-952
2933,156,-256,-972
2955,188,-260,-972
2977,224,-308,-964
2999,120,-284,-964
3021,172,-288,-980
3044,208,-304,-1016
3065,128,-288,-940
3087,124,-288,-988
3109,140,-284,-956
3131,140,-292,-972
3153,176,-292,-1000
3175,208,-288,-1024
3197,224,-304,-1020
3220,192,-276,-992
3241,200,-300,-992
3263,196,-296,-992
3285,204,-284,-1000
3307,216,-284,-988
3329,228,-268,-988
3351,216,-272,-984
3373,200,-280,-1004
3395,208,-276,-1004
3417,188,-276,-980
3439,184,-280,-968
3461,172,-284,-988
3483,176,-272,-976
3505,188,-280,-980
3527,220,-276,-1000
