time,x,y,z
3,-280,-516,-884
25,-268,-532,-840
46,-264,-544,-812
67,-252,-540,-816
89,-236,-548,-828
111,-236,-540,-848
133,-236,-528,-856
155,-256,-520,-880
177,-244,-524,-852
199,-244,-524,-872
221,-248,-504,-920
243,-240,-528,-944
264,-232,-524,-876
286,-236,-520,-844
307,-228,-524,-848
329,-236,-532,-880
351,-244,-528,-896
373,-236,-520,-872
395,-228,-520,-848
417,-252,-504,-880
439,-240,-512,-856
460,-232,-496,-844
482,-248,-512,-860
503,-260,-512,-872
525,-244,-524,-864
547,-244,-540,-880
569,-240,-540,-880
592,-240,-540,-856
613,-244,-532,-840
634,-240,-532,-880
655,-232,-536,-880
677,-248,-512,-884
699,-240,-516,-876
721,-216,-528,-864
743,-232,-536,-816
765,-264,-536,-836
788,-260,-540,-864
809,-236,-520,-884
831,-236,-492,-856
853,-260,-504,-868
875,-260,-496,-888
897,-260,-520,-904
919,-248,-532,-868
941,-260,-532,-844
964,-232,-560,-816
985,-240,-544,-800
1006,-232,-544,-864
1027,-228,-524,-940
1049,-232,-520,-924
1071,-228,-492,-856
1093,-204,-492,-804
1115,-216,-488,-840
1137,-260,-488,-908
1160,-252,-492,-932
1181,-232,-496,-936
1203,-236,-520,-900
1225,-220,-524,-864
1247,-208,-524,-896
1269,-232,-500,-924
1291,-232,-496,-892
1313,-232,-488,-864
1335,-244,-484,-812
1357,-244,-488,-844
1379,-236,-492,-892
1401,-236,-492,-888
1423,-240,-520,-892
1445,-216,-528,-856
1467,-216,-548,-840
1489,-220,-500,-884
1511,-212,-500,-964
1533,-208,-500,-968
1555,-216,-476,-856
1577,-216,-484,-880
1599,-228,-484,-932
1621,-224,-500,-908
1643,-260,-480,-868
1665,-276,-424,-928
1687,-188,-488,-988
1709,-160,-504,-904
1732,-208,-480,-840
1753,-216,-504,-832
1775,-204,-508,-840
1797,-200,-500,-880
1819,-204,-500,-912
1841,-200,-504,-904
1863,-208,-492,-896
1885,-200,-480,-912
1908,-192,-488,-916
1929,-204,-476,-920
1950,-200,-480,-924
1971,-188,-500,-896
1993,-196,-504,-872
2015,-228,-488,-888
2037,-192,-488,-904
2059,-180,-496,-892
2081,-204,-496,-900
2104,-212,-480,-896
2125,-212,-500,-912
2147,-200,-500,-884
2169,-212,-492,-896
2191,-204,-488,-900
2213,-212,-476,-888
2235,-208,-476,-896
2257,-212,-480,-892
2280,-212,-480,-868
2302,-216,-492,-872
2323,-200,-500,-896
2345,-200,-492,-908
2367,-192,-484,-868
2389,-208,-484,-888
2411,-220,-484,-932
2433,-220,-484,-940
2455,-200,-504,-856
2477,-212,-492,-856
2499,-200,-488,-976
2520,-168,-464,-1004
2543,-156,-488,-932
2565,-192,-480,-832
2587,-216,-480,-848
2609,-208,-460,-932
2631,-184,-464,-964
2652,-216,-484,-928
2674,-216,-520,-856
2696,-192,-508,-832
2718,-188,-500,-884
2739,-184,-504,-952
2761,-196,-492,-940
2783,-204,-496,-876
2805,-224,-492,-884
2827,-212,-492,-880
2849,-212,-488,-900
2871,-204,-500,-896
2892,-208,-484,-880
2914,-220,-508,-880
2935,-196,-496,-856
2957,-204,-484,-868
2979,-204,-460,-940
3001,-208,-492,-956
3023,-212,-504,-888
3046,-184,-480,-928
3068,-172,-480,-964
3089,-192,-484,-928
3111,-212,-500,-860
3133,-220,-516,-844
3155,-204,-512,-880
3177,-204,-508,-880
3199,-224,-496,-900
3221,-192,-524,-880
3243,-192,-528,-848
3265,-208,-536,-868
3287,-196,-520,-896
3309,-184,-536,-932
3331,-200,-520,-900
3353,-196,-516,-824
3375,-196,-512,-836
3398,-216,-488,-916
3420,-224,-500,-960
